date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,22.2,17.5,,,,,,,,
2018-01-02,25.4,18.6,,,,,,,,
2018-01-03,26.1,16.9,33,,,,,,,
2018-01-04,29.2,22.2,,,,,,,,
2018-01-05,24.8,,36.7,,,,,,,
2018-01-06,21.1,15.8,,,,,,,,
2018-01-07,25.1,18.7,,,,,,,,
2018-01-08,27.9,22.9,33,,,,,,,
2018-01-09,27.3,23.9,33,,,,,,,
2018-01-10,28,24,,,,,,,,
2018-01-11,31,26.2,,,,,,,,
2018-01-12,30,27.7,37,,,,,,,
2018-01-13,26,22.7,33.5,,,,,,,
2018-01-14,19.2,16.5,30.5,15,,,,,,
2018-01-15,20.6,15.8,,1,,,,,,
2018-01-16,24.4,18.6,,0,,,,,,
2018-01-17,25.4,23.5,30,,,,,,,
2018-01-18,25.1,19.3,,0,,,,,,
2018-01-19,27.4,20.7,33.2,1,,,,,,
2018-01-20,26.4,21,34.7,0,,,,,,
2018-01-21,28.2,25.2,33.4,,,,,,,
2018-01-22,26.8,23,33.3,,,,,,,
2018-01-23,27.7,23.6,,0.8,,,,,,
2018-01-24,23.3,18.4,36,6.1,,,,,,
2018-01-25,20.2,14.8,26.2,0,,,,,,
2018-01-26,23.6,19.1,,0,,,,,,
2018-01-27,25.4,22.1,29.5,0,,,,,,
2018-01-28,26.2,21,,0,,,,,,
2018-01-29,24.9,21,32.6,,,,,,,
2018-01-30,25.4,20.7,,,,,,,,
2018-01-31,27.7,22.2,32.6,,,,,,,
2018-02-01,27.2,21.9,32.5,,,,,,,
2018-02-02,28.1,23.7,,,,,,,,
2018-02-03,24.9,21.3,34.1,,,,,,,
2018-02-04,25.8,22.5,,,,,,,,
2018-02-05,27.3,23.3,,,,,,,,
2018-02-06,27.9,23.6,33.1,,,,,,,
2018-02-07,28.9,24.3,,,,,,,,
2018-02-08,30.7,26.3,,,,,,,,
2018-02-09,26.6,22.2,36.6,2,,,,,,
2018-02-10,24.6,19.3,28.6,15,,,,,,
2018-02-11,19.9,14.8,29.5,8.9,,,,,,
2018-02-12,17.9,12.3,24,0,,,,,,
2018-02-13,20.6,14.8,,,,,,,,
2018-02-14,23.7,17,,,,,,,,
2018-02-15,25.2,21,,,,,,,,
2018-02-16,26.3,22.1,,,,,,,,
2018-02-17,26.8,22.4,32.3,,,,,,,
2018-02-18,28.4,24.4,,,,,,,,
2018-02-19,26.3,20.4,34.1,22.1,,,,,,
2018-02-20,25.4,20.4,,0.5,,,,,,
2018-02-21,22.4,18.6,31.4,0,,,,,,
2018-02-22,22,15.5,,0.5,,,,,,
2018-02-23,23.3,17,29,0,,,,,,
2018-02-24,22.8,17.4,28.9,,,,,,,
2018-02-25,23.1,20,27.2,,,,,,,
2018-02-26,23.4,20.4,26.9,,,,,,,
2018-02-27,24.6,20.8,,,,,,,,
2018-02-28,24.2,21.3,30.7,,,,,,,
2018-03-01,25.4,21.3,,0.3,,,,,,
2018-03-02,27.1,20.7,,0,,,,,,
2018-03-03,27.3,23.6,32.4,,,,,,,
2018-03-04,26.9,22.5,32.6,,,,,,,
2018-03-05,26.1,23.6,31.9,,,,,,,
2018-03-06,20.6,13.8,28.8,,,,,,,
2018-03-07,21.1,15.6,26.9,,,,,,,
2018-03-08,23.8,17.6,,,,,,,,
2018-03-09,25.4,20,,,,,,,,
2018-03-10,27.2,23,,,,,,,,
2018-03-11,21.6,15.7,34.1,,,,,,,
2018-03-12,19.7,12.6,25.8,,,,,,,
2018-03-13,23.8,18.7,,,,,,,,
2018-03-14,23,17.8,31,,,,,,,
2018-03-15,19.4,13.2,30.8,19.1,,,,,,
2018-03-16,19.2,14.4,25,0,,,,,,
2018-03-17,22.5,18.8,,0,,,,,,
2018-03-18,22.2,,27,29,,,,,,
2018-03-19,19.1,12.2,,3,,,,,,
2018-03-20,20.3,15.1,26.7,0,,,,,,
2018-03-21,16.7,12.6,27,,,,,,,
2018-03-22,19.1,15.1,,,,,,,,
2018-03-23,23.2,17.7,,0,,,,,,
2018-03-24,20.4,15.1,30.3,11.9,,,,,,
2018-03-25,15.9,11,27.2,7.1,,,,,,
2018-03-26,14.6,8.3,20.9,0,,,,,,
2018-03-27,19.2,15.4,,,,,,,,
2018-03-28,21.7,18.2,,,,,,,,
2018-03-29,23.3,17.2,,,,,,,,
2018-03-30,24.4,18.3,30.6,,,,,,,
2018-03-31,24.6,19.1,31,,,,,,,
2018-04-01,22.6,21,32,,,,,,,
2018-04-02,20.7,18.3,25.4,,,,,,,
2018-04-03,20,14.3,25.3,,,,,,,
2018-04-04,21.6,16.8,,,,,,,,
2018-04-05,24.1,19,,,,,,,,
2018-04-06,18.9,,30.6,0,,,,,,
2018-04-07,17.9,16.2,,52.1,,,,,,
2018-04-08,19.7,16.8,,4.1,,,,,,
2018-04-09,22.1,18,,6.1,,,,,,
2018-04-10,25.8,21.8,,0,,,,,,
2018-04-11,26.7,23.2,,,,,,,,
2018-04-12,18.6,16.1,33.3,19.1,,,,,,
2018-04-13,14.9,9.8,20.2,0,,,,,,
2018-04-14,18.3,13.3,,,,,,,,
2018-04-15,20.2,17.4,,,,,,,,
2018-04-16,21.3,18.8,,,,,,,,
2018-04-17,22.9,19.6,25.9,,,,,,,
2018-04-18,24.2,20.4,,,,,,,,
2018-04-19,24.1,21.6,30.5,,,,,,,
2018-04-20,23.1,,29.2,5.1,,,,,,
2018-04-21,21.8,20,,21.1,,,,,,
2018-04-22,22.9,20.2,,0,,,,,,
2018-04-23,20.8,19.1,27.2,18,,,,,,
2018-04-24,19.5,17,22.1,0,,,,,,
2018-04-25,22.4,18.8,,0.5,,,,,,
2018-04-26,23.3,20.9,28.6,0,,,,,,
2018-04-27,25.8,22.4,,,,,,,,
2018-04-28,21.1,20,32.3,7.1,,,,,,
2018-04-29,19.9,18,22.8,108,,,,,,
2018-04-30,19.3,18.2,,22.1,,,,,,
2018-05-01,15.6,13.4,21.6,0,,,,,,
2018-05-02,17.4,14.4,18,2,,,,,,
2018-05-03,18.6,16.2,,11.9,,,,,,
2018-05-04,18.4,17.1,22.4,0,,,,,,
2018-05-05,18,16,,4.1,,,,,,
2018-05-06,19.6,17.4,,5.1,,,,,,
2018-05-07,20.7,18.6,22.6,0,,,,,,
2018-05-08,19.8,18.6,23.2,6.1,,,,,,
2018-05-09,19.3,18.4,,49,,,,,,
2018-05-10,18.6,17.1,21.2,0,,,,,,
2018-05-11,17.7,14.8,20,67.1,,,,,,
2018-05-12,16.1,10.9,,0,,,,,,
2018-05-13,15.4,11.2,23.1,,,,,,,
2018-05-14,18.3,13,,,,,,,,
2018-05-15,17.8,14.3,,,,,,,,
2018-05-16,12.4,9,21.5,,,,,,,
2018-05-17,11.5,9.8,17,0,,,,,,
2018-05-18,12.4,7.6,,5.1,,,,,,
2018-05-19,11.6,8.6,20.2,8.9,,,,,,
2018-05-20,11.9,7.1,,0,,,,,,
2018-05-21,13.8,8.7,,,,,,,,
2018-05-22,11.4,5.5,19.4,,,,,,,
2018-05-23,13,7.2,,,,,,,,
2018-05-24,14.7,10,,,,,,,,
2018-05-25,14.7,10.2,21.6,,,,,,,
2018-05-26,14.9,11.7,19.4,,,,,,,
2018-05-27,17.9,12.8,,,,,,,,
2018-05-28,20.3,16,,,,,,,,
2018-05-29,22.4,18.8,26,0.5,,,,,,
2018-05-30,17,,25.1,43.9,,,,,,
2018-05-31,11.8,10.4,17.5,4.1,,,,,,
2018-06-01,10.2,8,13.2,8.9,,,,,,
2018-06-02,8.6,5.2,12.9,0,,,,,,
2018-06-03,8.8,4.6,13,,,,,,,
2018-06-04,10,5.3,13.3,0.3,,,,,,
2018-06-05,9.4,6.4,,1,,,,,,
2018-06-06,10.8,6.5,,0,,,,,,
2018-06-07,10.7,7.9,17.4,,,,,,,
2018-06-08,9.7,5.1,,,,,,,,
2018-06-09,12.3,7.7,17,,,,,,,
2018-06-10,15.2,9.6,,,,,,,,
2018-06-11,13.4,12,17.6,,,,,,,
2018-06-12,11.4,,15,0,,,,,,
2018-06-13,8.1,6.7,13,5.1,,,,,,
2018-06-14,7.9,4.1,,0,,,,,,
2018-06-15,6.4,2.4,12.5,,,,,,,
2018-06-16,6.6,1.9,,,,,,,,
2018-06-17,9.7,3.9,,,,,,,,
2018-06-18,11.9,5.8,,,,,,,,
2018-06-19,13.1,8.2,19.1,,,,,,,
2018-06-20,13.9,9,19,,,,,,,
2018-06-21,15.6,11.2,19.2,0.3,,,,,,
2018-06-22,10.2,5.5,16.6,0,,,,,,
2018-06-23,12.5,8.4,16.9,0,,,,,,
2018-06-24,5.4,0,17.5,,,,,,,
2018-06-25,7.8,1.2,,,,,,,,
2018-06-26,10.4,5.1,,,,,,,,
2018-06-27,12.8,7.6,,,,,,,,
2018-06-28,12.2,7.7,21.1,,,,,,,
2018-06-29,14.5,9,,,,,,,,
2018-06-30,11.8,9.3,20.1,,,,,,,
2018-07-01,13.4,10.8,15.4,,,,,,,
2018-07-02,11.9,,16.9,0.3,,,,,,
2018-07-03,6.7,2.8,,0,,,,,,
2018-07-04,7.7,3.4,9.5,0,,,,,,
2018-07-05,9.7,7,,0,,,,,,
2018-07-06,10.1,9.2,11.2,,,,,,,
